objid,specz,ra,dec,proj_sep,velocity
1237671768542478711,0.08245682,257.82458,64.133257,8.347733163,24719932.74666356
1237671768542478713,0.08121841,257.83332,64.126043,8.011259418,24348666.76875178
1237671768542544090,0.079564395,257.85137,64.173247,8.739275985,23852805.54633291
1237671768542544107,0.08084181,257.89303,64.141138,6.839641538,24235764.92906898
1237671768542544127,0.08457541,257.91585,64.10729,5.666107799,25355070.05025778
1237671768542544154,0.07678025,257.91496,64.168562,7.228950116,23018139.8733545
1237671768542544161,0.08329739,257.93432,64.112149,5.245599808,24971929.29308462
1237671768542544196,0.082783205,257.9528,64.152581,5.859218808,24817780.50806789
1237671768542544199,0.082084025,257.93802,64.204363,8.364966722,24608171.617283452
1237671768542544203,0.07728186,257.95663,64.168201,6.405517512,23168518.76821188
1237671768542544216,0.08294442,257.98049,64.141747,4.888855902,24866111.54918436
1237671768542544237,0.079333115,258.01999,64.145244,4.263548254,23783469.54664667
1237671768542544239,0.08237245,258.02871,64.142159,3.977635258,24694639.2569821
1237671768542544274,0.073645875,258.05701,64.141009,3.468454002,22078477.887810748
1237671768542544330,0.07523879,258.09561,64.141326,3.051527837,22556021.79104582
1237671768542544423,0.07603376,258.15875,64.241688,8.978348791,22794347.801382083
1237671768542544479,0.08272765,258.12681,64.15857,3.958608226,24801125.5380637
1237671768542609591,0.0766105,258.25996,64.169255,5.730845736,22967250.103609
1237671768542609598,0.08332969,258.26084,64.181085,6.325922807,24981612.58947802
1237671768542609650,0.08411482,258.32128,64.193657,7.872549255,25216988.64202756
1237671768542609695,0.07794407,258.39865,64.134166,7.481537025,23367044.33182406
1237671768542609714,0.084620605,258.38129,64.205896,9.468378587,25368619.17039709
1237671768542609733,0.077776855,258.41181,64.158894,8.397056839,23316914.53595959
1237671768542609746,0.07680839,258.40222,64.205586,9.844518658,23026576.03312262
1237671768542609778,0.0953292,258.45092,64.147217,9.03657228,28578975.1871736
1237671939804495950,0.08278586,257.78072,64.08254,9.162668768,24818576.457043882
1237671939804496202,0.08275887000000001,257.77059,64.052263,9.716835739,24810485.058602463
1237671939804496253,0.07125111,257.87064,63.980187,9.577689589,21360545.402128384
1237671939804496277,0.069976125,257.9009,64.016662,7.532898737,20978314.51506525
1237671939804496307,0.07863752,257.90819,64.04625,6.436920393,23574935.41182416
1237671939804561434,0.1508861,258.02787,64.040384,4.113854656,45234514.7970338
1237671939804561468,0.07981008,258.09657,64.032519,3.706647877,23926460.056376643
1237671939804561470,0.073974925,258.20851,64.052953,3.154617319,22177124.59611565
1237671939804561472,0.08352977,258.17109,64.07271,1.617259783,25041595.06447466
1237671939804561475,0.0739049,258.21347,64.073183,2.491308692,22156131.629244197
1237671939804561476,0.073451665,258.12006,64.060761,1.927124177,22020255.19454257
1237671939804561478,0.08687198500000001,258.11782,64.031104,3.702669394,26043565.914489135
1237671939804561483,0.08280216,258.13376,64.038556,3.244542383,24823463.07410928
1237671939804561484,0.08562605,258.18179,64.053546,2.714850533,25670043.9983309
1237671939804561485,0.082796675,258.15028,64.085551,0.690984972,24821818.71247715
1237671939804561487,0.08264548,258.08067,64.035634,3.65059811,24776491.591789838
1237671939804561491,0.079472405,258.10986,64.082134,0.812440962,23825227.63812149
1237671939804561492,0.08442297,258.13856,64.071678,1.278257807,25309369.68796026
1237671939804561603,0.082886055,258.22681,63.992408,6.532384883,24848614.16237319
1237671939804561642,0.07399645,258.24041,64.051036,3.831337246,22183577.628774103
1237671939804561746,0.08339601,257.92393,64.083086,5.420043583,25001494.825292584
1237671939804561753,0.07388825,257.9832,63.958064,8.939968086,22151140.0848185
1237671939804561763,0.08735447,257.95132,64.075248,4.787099014,26188211.27858726
1237671939804561772,0.078259845,257.99905,63.964991,8.388203294,23461711.295249008
1237671939804561802,0.08275175,258.00482,63.980452,7.482882712,24808350.5363015
1237671939804561812,0.083501325,257.99055,64.055714,4.263442881,25033067.46800685
1237671939804561826,0.07503507,258.0042,64.037866,4.647446354,22494948.07150206
1237671939804561830,0.07970303000000001,257.99197,64.08917,3.611475909,23894367.273747742
1237671939804561850,0.07901837,258.0388,63.982832,7.00307958,23689111.36945346
1237671939804561862,0.08279845,258.02928,64.05549,3.44481301,24822350.8440901
1237671939804561897,0.07967802,258.03354,64.097415,2.530808174,23886869.46437316
1237671939804561900,0.0809986,258.07722,64.008077,5.25428766,24282769.3885588
1237671939804561916,0.08577074500000001,258.11872,63.963722,7.737427229,25713422.46804121
1237671939804561927,0.08496328,258.13516,64.002787,5.389856592,25471350.550942242
1237671939804561928,0.07837883,258.13222,63.997333,5.715857304,23497382.10086414
1237671939804561934,0.08224989,258.12711,64.016596,4.560503387,24657896.69332962
1237671939804561948,0.07412706,258.11967,64.109101,1.0219152,22222733.521713477
1237671939804561959,0.07060246,258.20332,63.938051,9.475231624,21166085.02424668
1237671939804561961,0.08254481,258.20006,63.937414,9.494035903,24746311.485042978
1237671939804561964,0.07617816,258.14202,64.097222,0.429174675,22837637.832317278
1237671939804561977,0.08137539,258.21274,63.960697,8.210961598,24395728.18880862
1237671939804561997,0.081027345,258.23101,64.029253,4.640520239,24291386.92276401
1237671939804561999,0.08127932,258.23112,64.032429,4.488327863,24366927.127368562
1237671939804626957,0.07460423499999999,258.31944,64.055688,5.454981236,22365786.98785963
1237671939804626959,0.078439865,258.37128,64.046858,6.914490158,23515679.93353817
1237671939804626961,0.07682644,258.33324,64.056802,5.762331685,23031987.286989518
1237671939804627086,0.07765399,258.30574,63.977073,8.336215395,23280080.535607424
1237671939804627102,0.0792037,258.35557,63.978695,9.054772157,23744671.9056946
1237671939804627245,0.0815449,258.29265,63.985146,7.740959022,24446546.0083642
1237671939804627262,0.08213184000000001,258.27283,64.091241,3.760580145,24622506.19366272
1237671939804627265,0.08092269,258.26575,64.117134,3.863182086,24260012.14307202
1237671939804627279,0.07704972,258.30379,64.028753,5.967263126,23098924.94701176
1237671939804627298,0.07988764000000001,258.33535,64.009444,7.357714129,23949711.959419124
1237671939804627306,0.076210605,258.34049,64.069079,5.713924502,22847364.59861709
1237671939804627307,0.08112399,258.32931,64.076861,5.3272499,24320360.364867423
1237671939804627378,0.08207111,258.3913,64.013379,8.358402309,24604299.79768838
